,Tweet,Sentimen
0,warung ini dimiliki oleh pengusaha pabrik tahu yang sudah puluhan tahun terkenal membuat tahu putih di bandung  tahu berkualitas  dipadu keahlian memasak  dipadu kretivitas  jadilah warung yang menyajikan menu utama berbahan tahu  ditambah menu umum lain seperti ayam  semuanya selera indonesia  harga cukup terjangkau  jangan lewatkan tahu bletoka nya  tidak kalah dengan yang asli dari tegal,positive
1,mohon ulama lurus dan k212 mmbri hujjah partai apa yang harus diwlh agar suara islam tidak pecahpecah,neutral
2,lokasi strategis di jalan sumatera bandung  tempat nya nyaman terutama sofa di lantai 2  paella nya enak  sangat pas dimakan dengan minum bir dingin  appetiser nya juga enakenak,positive
3,betapa bahagia nya diri ini saat unboxing paket dan barang nya bagus  menetapkan beli lagi,positive
4,duh  jadi mahasiswa jangan sombong dong  kasih kartu kuning segala  belajar dulu yang baik  tidak usahlah ikutikut politik  nanti sudah selesai kuliah nya mau ikut politik juga tidak telat  dasar mahasiswa,negative
5,makanan beragam  harga makanan di food stall akan ditambahkan 10  lagi di kasir  suasana ramai dan perlu perhatian untuk mendapatkan parkir dan tempat duduk,positive
6,pakai kartu kredit baca tidak untung malah rugi besar,negative
7,tempat unik  bagus buat foto  makanan enak  pegawai ramah  bersih dan luas  wifi kencang  harga standar dan sesuai dengan tempat nya  ada menu masakan makanan barat dan indonesia  menu favorit lychee mojito dan spagheti,positive
8,saya bersama keluarga baru saja menikmati pengalaman kuliner yang menyenangkan di rm sari sunda di jalan  setiabudhi  bandung  tapi  karena tidak ada hubungan untuk rm sari sunda di jalan  setiabudhi  maka saya tuliskan di sini  jadi  maaf jika rekanrekan pembaca ada yang bingung  beberapa hal yang saya suka dari restoran ini adalah bahwa pelayanan restoran ini terbilang cepat,positive
9,bersyukur,positive
10,simcard indosat inaktiv garagara lupa isi pulsa dan kabar nya aktif jika pinda ke pasca bayar  ribet banget,negative
11,sifat iri sering muncul pada orang orang yang tidak punya tujuan hidup,negative
12,sekadar menceritakan pengalaman saya pesan steak grilled beef 200 tidak disajikanlah steak 200 tidak tersebut dalam 2 potongan 100 tidak  100 tidak rasanya tidak buruk  namun kualitas daging nya yang membuat saya enggan memesan menu beef lagi khusus nya sirloin karena lemak nya terlalu banyak untuk ukuran steak namun  masih ada menumenu lain yang sangat menempel di lidah saya sarankan untuk membeli menu berlabel cheese atau  lanjutan,positive
13,pengalaman bersama indosat hari ini  semoga tidak terjadi pada pelanggan lain  sempat sampai marahmarah dengan pelayanan pelanggan indosat,negative
14,anak sekarang sulit untuk dinasehati,negative
15,hanya mengatasi masalah kayak begini saja anies sandi tidak becus  ke mana saja pasukan kebersihan yang begitu banyak jumlah nya,negative
16,setiap bumn dibentuk dengan uu bukan dibentuk dengan uu,neutral
17,sehabis puas bermain di trans studio bandung  saya bersama teman sepakat untuk makan ayam kakek di sini  ayam nya selalu enak dan gurih,positive
18,rasa bakso cuanki dan batagor cukup  selalu ramai pengunjung  buka sekitar jam 10 pagi  dari jalan riau menuju jalan a yani ada sisi kiri jalan sekitar jalan anggrek  harga per porsi sekitar rp 14 000  datanglah lebih awal karena selalu ramai pengunjung,positive
19,sgwr 2018 beri dampak positif terhadap hobi anakanak,positive
20,berada di lembang  pemandangan indah  udara sejuk  penataan resto yang bagus  dilengkapi dengan makanan yang sangat nikmat  pilihan menu beragam dan minuman yang lengkap  lingkungan yang cocok untuk makan berdua dengan pasangan  membawa keluarga ataupun bersama dengan teman  lapangan parkir luas  restoran yang berkonsep terbuka ini membuat udara lembang sangat terasa sejuk nya,positive
21,berbuka puasa di sini pada minggu lepas  pak supir yang mencadangkan tempat makan ini  makanan nya di sini sedap dan harga berpatutan  tempat nya luas dan cantik  rekomendasi too others tapi dine ini here tapi rasa authentic sunda makanan indonesia,positive
22,hahaha suka banget menonton kartun indonesia keluarga pak tomat,positive
23,bagi temanteman yang sedang berkunjung ke bandung bisa mampir ke kopi anjis untuk makan makanan yang tidak terlalu berat  ada cilok rakyat ditemankan dengan teh sereh dan lekker,positive
24,di restoran ini  saya dan keluarga makan malam yang terakhir di bandung  kami berjumlah 8 orang dan bila nya hanya sekitar 400 an  benarbenar murah meriah  sampai makan doubledouble lagi  makanan nya juga enak  suasana kafe menarik  pelayanan sangat bagus  saya masih teringat petunjuk toilet yang ada di restoran ini men tapi the pergi  karena momen are selalu ribut hahahaha  setimpal,positive
25,alhamdulillah hari ini tidak ke jalan bugel agak kesal juga kalau tiap hari lewat sana melulu  sempit  dua arah  macet sudah jadi makanan seharihari,negative
26,respon agak lama  sama sayang nya rem nya bukan asli  masih rom distrobitor,negative
27,lokasi dengan pemandangan alam yang masih natural dan indah  suasana juga sejuk dan tenang  hanya saja banyak nyamuk dan harga makanan relatif mahal,positive
28,pdip sebut ridwan kamil menang karena berbaju merah,neutral
29,malu  maluin nih oknum yang tidak bertanggung jawab,negative
30,makan siang di sini asyik juga  nuansa bali walaupun music nya musik sunda kadang musik khas bali bergantian  tempat nya enak dan adem tapi sayang sekali pesan kopi lama banget datang nya  diminta berkali kali  iya pak iya pak hampir 1 jam dan ketika kopi datang pun bukan kopi panas tapi kopi adek  ini kah ciri khas kopi di sini  kalau khas nya kopi dingin tidak enak,negative
31,tempat steak di bandung sejak lama dari zaman setiabudi sampai sekarang buka cabang di riau  tempat di riau ini lebih besar  parkiran juga tidak sulit seperti di setiabudi  lokasi di tempat kuliner jalan riau  porsi dan harga nya pas untuk ukuran steak  untuk zoom non smoking nya nyaman,positive
32,0830  kedatangan presiden ri dan rombongan di gate 2  terminal 3 disambut oleh menteri perhubungan  menteri bumn  gubernur banten  dirjen perkeretaapian kemhub  dirut ap2  dirut pt kami  dan dirut railink,neutral
33,makanan tradisional yang selalu rasanya stabil iga garang asam nya dan java steak nya jangan lupa ya dicoba hidangan penutup semua kue enak lemper soes fla gulung  enak sekali tidak ada yang tidak enak kalau makanan di sini,positive
34,sampai saat ini saya rasa batagor ini masih yang terenak di kota bandung dibandingkan dengan batagor lainnya yang saya pernah coba  bumbu kacang nya pas rasanya di lidah  dan batagor nya juga tidak amis bau nya  silakan mencoba untuk yang belum pernah coba,positive
35,aroma khas yang ada jika makan di atas daun pisang  ya walau ramai tempat ini selalu jadi favourit saya jika ke bandung,positive
36,akhir tahun lalu saya dan keluarga berjalan ke daerah lembang dan tidak sengaja mampir makan di resto ini  suasana nya nyaman  pelayanan juga ramah dan berlebihan ala kami puas  makanan yang di sajikan standar seperti makanan di restoran pada umum nya  tetapi yang membuat berbeda adalah sambal stroberi yang yummy dan bikin ketagihan  di sana selain bisa makan kita juga bisa sambil memetik  lanjutan,positive
37,risma menjatuhkan pilihan nya pada gus ipul  puti di pilgub jatim 2018 ini,neutral
38,pengalaman yang cukup seru  makan tanpa alas piring  tapi hanya dengan alas daun  makin nikmat  makanan sunda yang sangat bervariatif dan cukup enak  tips nya  jangan terbawa emosi dan kalap memesan dan memilih semua makanan yang disediakan biasanya kalap kalau sudah melihat makanan macammacam begitu  pilih seperlunya,positive
